,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
A4GALT,0.13559963,0.32125583,-0.34113702,-0.19672783,-0.33041003,-0.09990384,-0.33249256,0.5522343,0.077681996,-0.0071128993,-0.08843028,0.09170195,-0.008664143,0.46727923,-0.06909915,0.07555396,0.066395134,-0.039622106,0.16505788,0.040999677,-0.32390988,0.17819512,-0.0668269,-0.07359238,-0.023756558,0.41017416,-0.15009621,-0.06608806,0.18923324,0.12672526,-0.040685717,-0.09446409,0.35208598,-0.008912785,-0.23116049,-0.23641075,-0.28697774,-0.063907765,-0.08392329,-0.101682134,-0.12034469,-0.2417393,-0.10061442,-0.028351344,-0.15790658,0.08990677,0.03568868,-0.057352137,-0.39658144,-0.09156417,0.12576948,0.24261329,0.015980989,-0.2421211,-0.12061777,0.30639616,-0.16464175,0.29161426,-0.41875187,0.045021277,0.26517472,-0.038595296,-0.18782765,0.17967716,0.06298116,-0.32286528,-0.24245079,0.22603181,0.42652005,-0.27988094,-0.10256786,-0.15156864,-0.29739884,-0.250725,-0.053294685,0.18789467,-0.15700413,0.040728703,0.0060768826,0.27598894,-0.14027405,-0.043515574,-0.30476013,0.24799116,0.009787227,-0.2539759,0.019374384,0.36687282,-0.48346734,-0.29909274,-0.0627493,0.38200998,-0.08343664,0.06423354,0.16532831,-0.24689564,-0.27543342,-0.029585551,0.045212004,-0.09221735,0.24280213,0.3134111,-0.06793264,-0.31892672,-0.00421487,0.35458836,-0.03158531,-0.5480225,0.13818501,-0.20024636,-0.035193417,-0.19328493,-0.05010245,-0.08696145,0.045809038,0.2800495,-0.037599802,0.14441596,-0.03384686,0.004467241,-0.17670962,-0.23740773,-0.20685433,0.20399359,-0.27491158,0.13075721,-0.013439782,0.05843836,-0.31299698,-0.2852832,0.19549702,0.09554559,-0.18893951,0.7222073,-0.39755276,0.09226119,-0.07237186,0.030358668,0.3026035,0.3443958,0.13716,0.20912868,-0.17076685,0.09172593,0.016163016,-0.19770968,0.26560077,0.05383883,0.20827031,-0.1685272,-0.17041361,-0.10593208,-0.011484943,0.10591516,0.080578074,-0.68858725,0.15005238,0.08597038,-0.2421334,-0.5149236,-0.011079922,0.09021413,-0.1500439,-0.07484974,0.24373642,-0.6425519,0.13194211,-0.14631143,0.32724285,0.038560443,-0.35806015,0.1133337,0.011067707,0.1606078,-0.2631919,0.060188375,-0.22502668,-0.010440067,0.26699695,0.13612683,-0.45100203,0.014142663,0.14105476,0.3617965,-0.114136145,0.054060295,-0.20892109,-0.12283053,0.17029649,0.056101512,0.3668482,-0.058002975,0.43562195,0.11280913,-0.18148059,-0.033943214,-0.40173844,0.13766861,-0.010563224,0.18551137
A4GNT,-0.23751557,-0.19654109,-0.37929612,-0.22051318,-0.40887332,-0.24178037,0.2595175,0.19277573,0.17923316,-0.17714725,0.015904529,0.4721812,0.0046010995,0.46723503,-0.16762766,-0.025292227,-0.11560692,-0.18718539,0.46325913,0.28627977,0.03387967,0.1505498,0.04787299,-0.06083247,-0.24583055,-0.03810813,-0.07414384,0.030795764,0.09343708,0.18178153,-0.16108024,0.03859033,0.10611617,-0.16762754,-0.024048906,-0.25462127,-0.22465207,-0.31372085,0.017791305,-0.025273886,0.15737061,-0.102721326,-0.08873303,0.10274576,-0.051749296,0.20336735,0.34923416,0.28332898,-0.1378499,0.05379762,-0.25575373,0.2436175,0.029652983,0.12218836,0.1555611,0.26263213,0.13012427,0.1572826,0.033799022,-0.01637429,0.11337833,-0.21202244,-0.2900921,0.2277403,-0.086302094,-0.24991725,-0.5839098,0.03769601,0.16409695,0.071100384,0.11057512,-0.08813895,-0.16392684,0.0941726,0.36037883,0.1418242,0.093330726,-0.23241204,-0.10037901,0.15346585,-0.052890066,0.061788894,-0.33338305,0.3934885,-0.14784057,-0.08886856,0.100889996,-0.07991811,-0.22041719,0.029879205,0.5060505,0.4880824,0.021416195,-0.14184067,0.080416255,-0.17718999,-0.094389915,-0.28021905,-0.2182876,-0.0056514926,0.35535178,0.11665532,-0.18334292,-0.2557906,-0.011719373,0.43768603,0.32475644,-0.17907691,-0.07118669,0.0999685,-0.040592685,-0.12021143,-0.060551457,0.21517174,0.40791896,0.1553275,-0.096046954,0.14905316,0.21327578,-0.13897699,0.23984171,0.03353096,-0.10449086,0.21287605,-0.12882628,-0.25212213,0.018901045,-0.36215872,-0.59934247,-0.18941635,0.022978844,-0.14704731,0.17132154,0.54271203,0.041074228,0.023158299,0.06119272,-0.21756719,0.042647492,0.34823588,0.4171315,0.30796558,0.5273006,0.044380285,-0.19448356,-0.11389079,0.19796517,0.15666722,-0.11406063,-0.26957,0.011290871,-0.16103259,-0.107449055,-0.059074726,0.28300086,-0.64900696,0.15199517,-0.25019494,-0.08348275,-0.26441383,0.10433389,0.03744159,-0.21776156,0.017489119,0.003717325,-0.29197502,0.15787224,-0.26444244,0.36280015,-0.05249779,0.051232982,-0.38319787,0.20944646,-0.24911387,-0.1951523,0.07769485,0.07656592,-0.21364272,0.1860655,0.042103607,-0.15976848,0.2122076,-0.25912625,0.1826051,-0.17708004,0.17370786,-0.16241197,-0.16524336,-0.19073138,-0.033536136,0.09870112,-0.019731764,0.14789373,0.31789857,0.08796529,-0.19270317,-0.25836846,0.0697457,-0.108650215,0.34141803
ABCA7,0.016811704,0.08621365,-0.038497757,-0.19296068,0.11821813,0.16242312,0.22957096,0.046745256,0.2990861,0.31768546,-0.2322762,0.2919748,0.12746407,-0.15578134,-0.0034700406,0.32788283,-0.036161724,-0.2504219,0.101179,-0.0855174,0.1494779,0.27589136,-0.08073598,0.35264537,0.13885483,0.549991,0.14801607,-0.43349147,0.23980401,0.5635615,-0.17193131,0.064380884,-0.15767032,0.17259574,0.5359473,-0.6315002,-0.30902866,-0.21767922,-0.27705452,-0.5707677,0.036694314,0.32073766,0.34560302,-0.22267716,0.44143912,-0.06272058,-0.28431973,0.03687158,-0.12023491,0.16146083,0.12698822,-0.22748394,-0.18955597,-0.03224154,-0.04443638,0.63695633,-0.18496831,-0.35378742,-0.47950494,0.32343057,-0.015520464,-0.33242267,-0.037448555,-0.18440552,-0.16529728,0.08167897,-0.023774344,-0.33628988,-0.096414454,-0.24202043,-0.15336375,-0.51066166,-0.1955268,0.2180213,0.5385364,0.62695307,0.07559737,-0.41573372,0.30657065,0.100907564,-0.0726287,-0.03554774,-0.055007253,0.54216087,0.16408972,-0.13929713,-0.039521452,-0.32715976,-0.36741567,-0.11664945,-0.09059242,0.265055,-0.2397069,0.17632528,-0.10235846,-0.011922626,-0.01285417,0.08536641,0.085887015,0.09677654,-0.29523975,0.09120861,-0.75357205,0.051056888,-0.18353589,-0.43305326,0.14185897,-0.2676521,0.14786828,0.2863411,0.45151612,-0.07996648,0.058771987,0.09642084,-0.14113103,-0.07034959,0.0061823307,-0.0413043,0.09718463,0.10264855,-0.48445645,-0.17939422,0.046950106,-0.25282767,0.15447219,0.18150315,0.08329441,0.2078884,-0.3841651,-0.09206154,0.2971035,-0.36151886,0.15427497,0.2513496,-0.36715528,-0.2022497,0.10447989,-0.40245563,-0.14392042,-0.24206415,0.08705798,0.041267134,0.6096383,0.13069285,0.071628615,-0.34965193,0.087753616,0.113992795,-0.1095264,-0.05946194,-0.36656296,-0.3373028,0.37493685,0.07651957,0.2929463,-0.30731893,0.29502165,0.035150226,-0.23549944,-0.2921143,0.120050915,-0.41979083,0.016207056,-0.05161357,0.4631928,-0.5064074,0.19062272,-0.19711399,0.052336052,0.13390793,0.24859795,-0.21694164,-0.07062317,0.42646658,-0.012319167,0.035331752,-0.5671015,0.07462963,0.13583514,0.12649527,0.09830869,0.20186526,-0.0040082987,-0.2544185,0.27903444,0.06104315,0.4133088,-0.14730965,0.22188818,-0.22423229,-0.23976347,0.07158424,0.11299149,0.212608,-0.68682927,0.2830931,0.42104003,0.31167406,-0.0042867125,-0.085806504
ABCA9,0.41829184,0.18104292,0.22745514,-0.044956956,-0.1503881,0.16106138,0.17898355,0.12813395,0.5887368,-0.39797512,-0.32059753,-0.066623546,-0.08574265,0.21321921,-0.25470454,-0.21876256,-0.12881145,0.07474755,0.36179653,-0.3759536,0.010838429,0.34159836,-0.05181923,0.30680558,-0.1656738,-0.1821013,0.25454897,-0.102240056,-0.45802304,0.3683915,-0.060040567,-0.17258859,-0.121354245,0.37305468,0.12873258,0.040913377,-0.09473304,0.09850813,-0.0011370383,-0.16169527,-0.12572512,0.37361872,0.12748705,0.20966415,-0.3331144,0.28104696,0.14314201,-0.018514406,-0.06546287,-0.08712948,-0.28033632,0.09950008,-0.30347884,0.09355654,-0.087521,-0.034095924,-0.11376949,-0.12074164,-0.15813072,-0.09767842,-0.104287624,0.18235826,0.073156774,0.10475891,0.17846529,0.3386708,-0.60035294,0.086008444,-0.14402929,0.16713251,0.032436397,-0.10975012,0.05867,0.19895542,0.41550756,0.19121546,0.074774094,0.17370754,0.532315,0.11306868,-0.39041525,0.21331444,-0.22395995,0.29931265,-0.12298698,-0.15978074,0.26794043,0.018931905,0.030437643,-0.22188929,-0.06932115,0.045590367,-0.12210034,0.41434893,0.19347352,-0.11219558,0.1399529,-0.2452751,-0.08613334,0.016838668,0.10273872,0.15656553,-0.41456518,-0.7282253,0.0076678586,-0.109336376,0.3427737,-0.07681915,0.22200142,0.25472245,0.05711077,0.30527917,-0.15283911,0.35392112,0.2187983,0.06995613,-0.14072081,0.2591369,-0.15627137,0.123222694,-0.23873852,0.09098166,0.33904824,0.054695938,-0.002840528,0.18537244,-0.14774838,-0.09461965,-0.1914884,-0.27445677,-0.14685355,-0.37759212,0.2682882,0.20606007,0.32082626,0.4114461,-0.018492078,0.22374749,-0.08572904,0.019905215,0.3481202,-0.008767981,-0.1374805,0.049576968,-0.19130725,-0.091678955,-0.04840463,0.0192519,-0.28077492,-0.4496589,-0.38088426,-0.24338786,0.114374354,-0.0030797955,0.30210862,-0.20314662,0.039881382,0.13614552,0.08319786,0.03856422,0.18103364,0.07188993,-0.052709926,-0.0680594,0.0897237,0.37900257,-0.005354768,0.17047648,-0.11979782,0.26262772,-0.03610782,0.2990999,-0.11884249,-0.44582346,0.25229317,0.07547091,-0.22452061,-0.24180953,0.32611337,0.09052415,-0.25876042,0.29499343,-0.0013317358,0.14818938,-0.22261918,-0.30543455,-0.08291487,-0.052613527,-0.12557806,-0.03076102,0.04046478,-0.12179764,0.0896322,0.11799331,0.120654956,-0.24115373,0.053114243,-0.11462966,-0.23261942,-0.2918803
ABCC4,0.11090171,0.2307139,-0.19460109,-0.24208027,-0.07954916,0.17105736,0.20255908,0.19953254,0.32924536,0.15148449,-0.10143065,0.24330623,-0.15350729,0.056182496,-0.15759107,0.12591049,0.06734448,-0.34645966,-0.16019097,0.016798032,0.10588951,-0.11612253,-0.03518934,-0.05338039,0.2549461,-0.07995864,0.3786427,-0.16045867,-0.44213295,0.057153612,-0.39109012,-0.02001903,-0.24997109,0.216646,-0.3114842,0.16912453,-0.30429152,0.10586318,0.1560722,-0.37456164,0.047974154,0.042204253,0.012174109,0.13745892,0.01404546,0.21229362,-0.15824057,-0.07382927,0.15731512,0.19321293,0.09850805,0.06956205,-0.1583209,-0.00086292205,0.1730178,0.21618113,-0.25290468,-0.008435326,-0.21982487,-0.16106255,0.24030942,-0.38364407,-0.018099042,0.09316095,-0.07064198,0.24720073,-0.20414649,-0.053750053,-0.30885163,-0.23515654,0.1161255,-0.04542066,0.033803537,-0.14807026,-0.023651218,-0.031033056,0.17829815,-0.035499558,-0.012164347,0.037014928,-0.21233004,-0.4271491,-0.30947384,0.14643568,0.19128159,-0.16798708,-0.16886301,-0.61461943,0.43326396,-0.27588966,0.16888542,-0.18492365,0.11505412,-0.16248511,0.30250022,-0.3476273,-0.12358569,0.024669137,0.0041902037,-0.16926925,-0.07856308,0.091284625,-0.073037505,-0.30821308,-0.14126706,0.04925773,0.32036665,-0.19531074,0.2665536,0.18607552,0.051229164,-0.056924574,-0.09145193,0.16820608,0.083222374,-0.062907085,-0.0058148648,0.013733173,0.23970634,-0.18412878,-0.2673662,0.074803464,0.2467745,0.19305313,-0.18588288,-0.040822804,0.22395262,-0.29836583,-0.23671405,0.0046697473,0.17817506,-0.15355673,0.123920895,0.06853068,-0.15803352,0.013260148,-0.24021517,0.35561812,0.08311504,-0.1045244,-0.1402003,0.0854581,0.05513654,0.04826677,0.13688484,0.018204363,-0.080950625,-0.35184014,-0.2626873,-0.12040238,-0.0048557604,-0.26119828,-0.030227298,0.1352056,0.19146603,-0.13874058,0.29537824,0.12675017,-0.021461805,-0.050686613,0.05196638,0.44334674,-0.035228357,0.030209297,0.20367771,0.19177832,-0.22441454,0.118044354,0.0740987,0.11135205,-0.054912314,0.2077396,0.19711435,-0.15216455,0.6225383,0.26815015,0.22495909,0.03609348,-0.04830502,0.09998654,-0.05240135,0.59261656,0.021655671,0.0499366,0.25456315,0.32191584,0.11750518,0.33661225,0.2219389,0.39681873,-0.12475107,-0.028055275,0.3717449,0.0024253936,0.38545486,0.04699769,-0.081182174,-0.19878335,-0.086720765,-0.2635354
ABHD1,-0.06506161,-0.2719383,0.03503448,-0.08642689,-0.06697617,-0.11254042,0.24350873,0.19439465,0.45356894,0.049814574,0.24032229,0.11016228,-0.064471245,0.34066564,-0.20178783,-0.09930672,-0.05405088,-0.58853924,-0.0054866807,0.18383272,-0.25681376,0.14201714,-0.24818051,0.21552561,-0.065997556,-0.2243385,-0.021121934,0.01840161,0.23007232,0.18791139,0.15933916,0.44356352,0.016788153,0.0018230597,-0.07821478,-0.341196,-0.036153622,0.19887348,-0.0676892,-0.13491356,0.052464493,-0.24852647,0.18029574,-0.046659958,0.088740624,0.053858675,-0.13515276,-0.1423142,0.07126065,-0.28354698,0.1490245,-0.00015827996,-0.17092618,0.234058,-0.08703915,0.30016866,-0.007631892,0.22464444,-0.015742889,0.2522979,0.15637772,-0.1187977,-0.42033005,-0.027396673,0.1349745,-0.22431414,-0.49516648,0.08385747,0.07647015,-0.2553181,-0.0035719227,0.14448439,-0.35513282,0.0014081119,0.16466393,0.028680485,-0.15512154,0.2484297,0.22261673,0.2345707,0.061707333,0.16816068,-0.15206403,0.4667432,-0.33722427,-0.009709331,0.2871765,-0.055124935,0.03882025,-0.19199565,-0.002113232,-0.06295213,-0.120398074,-0.10575034,0.06807571,0.076496206,-0.14444916,0.08640191,-0.22425374,0.18329853,-0.10503797,-0.05002581,-0.22848298,-0.13949296,0.038788743,0.35810766,0.27279067,-0.12057221,0.20446052,0.13039882,-0.032933503,0.052286353,-0.18400848,-0.005847406,0.26460156,0.3790081,-0.28555945,0.18076771,0.047562476,-0.047858395,-0.18315993,0.13705325,0.27399153,0.15160088,-0.03474126,0.09632421,0.38796914,-0.10350624,-0.10456594,0.062471516,0.114187144,-0.15133104,-0.05199051,0.055528,0.018757991,-0.020400256,-0.13892725,0.10185964,-0.16304316,0.05085906,0.34224832,-0.27532285,0.2274715,0.2228488,-0.11397372,-0.3027673,-0.2069048,0.07338083,0.024360068,0.07110594,0.11634794,-0.05124642,-0.048919786,-0.22237155,0.6957873,-0.39236763,-0.046334077,0.035173774,-0.10230178,-0.11904021,-0.23212408,0.18703926,-0.21184464,0.16633992,0.17532992,-0.26858804,-0.06509644,-0.21091002,0.24271064,-0.12913725,-0.12196034,-0.35058624,0.019523863,-0.10813475,0.044968326,0.33011445,-0.3483728,-0.16089267,0.03415471,-0.0595669,-0.10567454,0.24168132,-0.18585561,0.06824035,0.11151891,0.046400324,0.12593001,0.01616638,-0.13291143,-0.14704444,0.026346564,0.07532707,0.08025076,-0.15471393,-0.05046992,-0.102469005,0.17253065,-0.07425925,-0.08097511,0.26616988
ABHD11,0.08232556,0.01903561,-0.10456217,-0.21099548,-0.11507724,-0.36095798,-0.019972155,0.092418365,0.64811814,0.33563378,-0.2696718,0.6841522,-0.15830512,0.4059704,-0.2528327,-0.10986638,-0.11411124,-0.21553537,-0.06978877,0.08542987,-0.19751643,-0.07628051,-0.03871717,-0.016065117,0.050175067,-0.37429172,0.02520265,0.018542532,-0.2624333,-0.12733091,0.07932849,0.15255947,0.053894218,-0.10573027,-0.11803391,-0.31159556,0.109719016,-0.28339198,-0.00875364,0.104127154,0.05227217,-0.19565363,0.04521555,0.068938404,-0.22171134,0.3029272,0.114296615,0.23103565,-0.416265,-0.1368849,0.37029418,0.35045087,-0.17314476,0.21007967,-0.2419069,0.15446173,0.086023964,0.34131086,0.0401249,0.23157138,-0.026583826,-0.22614245,-0.13777182,0.16198273,-0.1260479,-0.18573233,-0.29550663,-0.02716697,0.11710801,0.036767602,-0.01983024,0.3263266,0.1783979,0.20025018,0.04501126,0.11428813,-0.07898097,-0.06577629,0.06703895,0.23666808,-0.1308402,0.04220673,-0.25682825,0.22538395,-0.10042025,-0.07444899,0.104734376,0.27436772,0.0916747,-0.15583454,0.07621198,0.06496464,-0.2490239,0.10241689,0.2891678,-0.10654961,0.015108384,-0.002572632,-0.19283101,-0.10431481,0.16133569,0.19466217,-0.2690602,-0.3151727,-0.16495374,0.38245803,0.072816186,0.046716455,0.02666322,0.20509918,0.08430749,-0.13370688,-0.11889782,0.32297072,0.27848384,0.4885288,-0.2612748,0.056840055,-0.04895484,0.015476699,0.28751773,-0.05628527,-0.048575863,0.17249204,-0.3078811,0.045476753,0.4511716,-0.13275586,-0.38408163,-0.14893676,-0.14072981,-0.09956053,0.0826082,0.14932567,-0.072722495,-0.061917663,-0.13691722,0.16751054,0.061065648,-0.04466742,0.21198808,0.08541089,0.2528062,0.018171104,0.038863953,0.11966982,-0.11184058,0.03661176,-0.381718,0.004449417,-0.075533345,-0.26944807,-0.1673575,-0.1151433,0.084050015,-0.23092492,0.34485453,0.05255988,-0.13295774,-0.20392348,0.14104618,0.22851752,-0.16592146,-0.016140666,0.13878834,-0.45883518,0.06791358,-0.27123204,0.17925836,0.08518135,-0.0059402697,-0.06611241,0.010362441,0.30128682,0.17987515,0.13942884,-0.21087825,-0.35197303,0.12051336,-0.09701193,-0.24172029,-0.13945603,-0.029719746,0.0134366015,-0.17106916,0.09665492,0.031973314,-0.3317743,-0.081982315,-0.27619693,0.06797875,-0.22747867,0.11362663,0.07643094,0.26387787,-0.17474094,0.3066415,0.00014604915,0.17527473,0.1166506
ABHD14B,0.12626658,0.14061397,0.16827875,0.10733691,0.28060848,0.13375603,-0.10987655,0.5381131,0.5418812,0.17663188,0.30107138,0.27698606,0.032701045,0.043746006,0.14399469,-0.24088813,-0.18728092,-0.16417421,-0.22096184,-0.024938498,0.018751023,-0.09285472,0.09375857,0.50683224,0.020911077,0.09961041,0.18215545,-0.044938073,0.20007958,0.6726856,-0.15949054,-0.06515656,-0.12365564,-0.042772107,0.60076374,0.010227709,0.018875731,0.25107488,-0.42564437,0.061477568,-0.19279784,-0.117467135,0.32731393,-0.38472012,0.53738713,0.3506289,-0.40606776,0.22685966,-0.25802907,0.16421025,0.11369575,0.17904131,-0.55969566,0.12908424,-0.069444716,0.613147,-0.28923032,0.0077627935,-0.1894988,-0.08943044,-0.14782193,-0.14830485,-0.18923113,-0.25727582,-0.10696521,0.17176369,-0.023482721,-0.032285694,-0.22549082,-0.6344637,-0.44746172,0.034713652,0.20332158,0.3125856,0.044257864,0.1842175,0.052891288,0.0070379353,-0.4971698,0.46385562,0.15970178,0.14357696,0.1096353,0.09536707,0.009332559,0.32318807,-0.14893709,-0.21596771,-0.056689683,-0.7071353,0.36104292,-0.37258247,0.4511007,0.035164982,-0.020999229,-0.207442,-0.3949172,0.18009454,0.2662535,-0.26655328,0.38941154,-0.22246116,-0.19308269,0.03610495,0.050965864,0.34641477,0.50818163,0.029090539,0.2780164,0.23124777,0.23991378,0.12746693,-0.1917487,0.6144292,0.16103178,0.20683154,0.13676557,0.07118807,-0.2502066,0.39978185,-0.10215994,0.23047738,-0.5580154,-0.14298992,-0.42490256,0.10084123,0.19952661,-0.17425518,-0.2232765,-0.08720508,-0.22169141,0.30947527,0.70411617,0.59479845,-0.1740771,0.23018834,-0.08191052,-0.11065013,-0.19502805,0.4336329,-0.12182825,-0.047800314,0.07337498,-0.19065887,-0.18180698,-0.33999434,-0.34428737,-0.0081423875,-0.035499938,0.063226156,0.052908823,-0.12692553,0.08237215,-0.3083524,-0.17501818,-0.11472398,0.750059,-0.142085,0.30332127,-0.47041073,-0.12229365,-0.08803999,-0.25166932,-0.43546504,0.20785378,0.19804655,-0.14200772,-0.18722534,-0.1203929,-0.25787577,-0.059677992,0.044735853,-0.5687207,0.26376355,-0.12396589,0.07581327,-0.61443096,0.040159732,0.18084043,0.14001882,-0.11560833,0.14240587,0.065155216,-0.8599593,0.024163319,0.28492925,0.35032725,-0.29030117,0.1826694,-0.24317472,0.18191749,0.25074956,0.5428756,-0.05101792,-0.36443347,0.055866756,0.2572985,0.034341145,-0.36692303,-0.20355567
ABI1,0.18906629,-0.19333228,0.10059728,0.008165008,-0.4194931,0.025510782,0.10968698,0.56785196,0.07652007,0.17447351,0.22648452,0.015959097,-0.30045745,0.01978103,0.021234648,0.18386596,0.1394173,-0.1353368,0.1614195,-0.3385542,-0.18981673,0.15237834,-0.19098288,0.008561167,0.23364776,-0.026065836,0.09983508,-0.122114584,-0.61428136,0.16976143,0.03513255,0.18126212,0.09750792,0.3521076,0.11752453,0.09095504,-0.061609883,-0.137759,-0.113059625,0.20837483,-0.10704708,0.2890042,0.04711612,-0.18392847,-0.015852155,-0.041430686,-0.21011174,0.3195698,-0.040777016,-0.19567871,-0.37452593,-0.27512604,-0.06700709,0.19287942,0.17711233,0.35346594,-0.17881654,0.024271917,-0.33685333,-0.14756984,-0.005557863,-0.15316273,0.3328609,0.323876,-0.10441267,0.11256693,-0.26167658,-0.06714726,-0.20033245,-0.26666135,-0.34856662,-0.305338,-0.09469621,-0.31058672,0.00049122586,0.08235678,0.34414914,-0.27939954,-0.1098698,0.4054093,-0.3369128,-0.3058952,-0.18840635,0.23754653,-0.1089874,-0.35698134,0.02381509,0.041417204,0.17229658,-0.39342526,0.13154067,-0.1954104,-0.39182478,-0.015006164,0.03670715,-0.17285334,0.06090586,-0.16098142,0.2599461,-0.18341096,0.16265315,0.13749322,-0.16232036,-0.00012122449,0.05162797,-0.083369255,-0.028007768,-0.4373401,0.11005968,-0.0812136,-0.008529412,-0.1895742,0.33943233,-0.03989116,-0.055914737,0.43951312,-0.23587753,-0.13934623,0.49508724,0.28835157,-0.023979489,-0.09020332,-0.07757039,0.0056138528,-0.012556609,-0.04839692,0.5382242,-0.31609657,0.078671314,-0.10562631,0.21141824,-0.0049359105,0.27680218,-0.122410044,-0.22839579,-0.19389123,-0.05186774,-0.017131358,0.12209507,-0.18350251,-0.4775926,-0.037845425,0.14861755,0.15539832,0.06872155,0.21114694,-0.16519918,-0.121508874,-0.28344125,-0.078272454,-0.13907923,-0.22805193,0.1828873,0.10485409,-0.045744188,-0.30771518,0.21831991,-0.22278799,-0.061706103,0.32474917,-0.07018769,0.2136632,-0.08045017,-0.119570896,0.58873236,0.03648449,-0.37439775,-0.115827,0.1520358,0.43641055,-0.18778364,0.19228296,0.2151816,-0.27322814,0.119929954,0.049716253,-0.12135546,0.10296526,0.22264801,-0.013804906,0.15023987,0.32325545,-0.3126463,-0.13072218,0.43072894,0.40899318,0.11107651,0.23472713,0.1627628,0.16019954,-0.094628885,0.06851299,0.45414835,0.04897408,0.15318502,0.39476448,-0.246803,-0.008814823,0.011119757,-0.3258265
ABI3,0.27647403,0.22982593,-0.30483276,0.009890726,-0.26546273,-0.24484363,-0.07335285,0.30008644,0.3160196,0.46263778,-0.103687674,0.28470173,-0.16679288,0.32380837,0.013797475,-0.054187022,0.28632972,-0.19883668,0.2443675,0.30444023,-0.010405416,0.23804823,-0.0686225,0.059380297,0.15828645,-0.15176524,-0.07372262,-0.26757225,0.056653846,0.34217393,0.20294221,0.30862832,-0.16516346,-0.23194772,-0.15168254,-0.33112437,-0.18236622,-0.24282074,0.2640672,0.07477993,-0.32668513,-0.021539168,0.20608082,0.12441503,0.38390422,0.27577248,-0.25673255,0.030049331,-0.24033971,0.08424727,0.08394385,-0.086984016,0.2690004,0.012143276,0.0790419,0.33636367,-0.095791355,0.060321406,-0.36882353,-0.02818968,-0.0305575,-0.23135339,-0.5139921,0.37655145,0.15791625,-0.12887001,-0.060690187,0.02416843,0.26211697,-0.02969229,-0.0970397,0.5729485,0.03573272,0.15715824,-0.13204013,-0.14643593,0.09011715,0.13852239,0.037127,-0.03150692,0.0459118,0.23192565,-0.09034233,-0.14852072,-0.07557251,-0.030610355,0.115919,-0.0200659,-0.0403717,-0.093964405,0.16007532,0.095434934,-0.025169166,-0.025558677,0.1906865,-0.21089263,-0.11001652,0.015383141,0.22195226,0.048206765,0.06841996,0.1193896,-0.40993375,-0.385696,-0.24028495,-0.037367888,0.34391585,-0.29426447,0.20550652,-0.022333397,0.0849374,-0.19402292,-0.14160989,0.01868076,-0.028907496,0.03737313,0.0056843627,-0.14620025,-0.24658279,-0.07048639,0.16091579,0.11031549,-0.27887443,0.106185004,-0.0945288,-0.2505578,0.16955754,0.07831049,-0.088021554,0.058936566,-0.05980817,0.210491,0.21598516,0.497223,-0.22611603,-0.15089478,-0.022778004,-0.18407774,-0.3231553,-0.124094725,0.02291261,-0.4754741,0.040058777,0.1382509,0.072688766,0.044221427,-0.09175959,0.013196223,0.07462838,-0.35874125,-0.06269874,0.09531684,0.12980285,-0.015989516,0.50718826,-0.18581943,0.022577731,0.056099165,0.1628317,-0.13689455,-0.3580385,0.08607368,-0.4117632,0.38830787,0.19335403,-0.26614323,0.09456626,-0.23535499,0.20578738,-0.37195176,-0.06101692,0.14220375,0.28648415,0.40232557,0.08865591,0.27251643,-0.52888584,-0.4633118,0.060174063,-0.26355398,0.061201707,0.07755267,-0.078790836,-0.029284647,0.17125033,0.2900112,-0.027514994,0.12966035,-0.11559282,-0.054963168,0.06885047,-0.063327014,0.2629455,0.19275682,0.08068102,-0.1370275,-0.09834479,-0.38147593,0.080965266,0.14555146
